label,text
1,@PenPure1 @FidTradZ101 @Kacy1000 We did have corn cobs &amp; later Sears catalog 😊
1,"When I’m high I️ see how fucked up my life is, but it motivates me to make it better 😊"
1,Cold As Fire. 😊 https://t.co/dzOFBYaQrq
1,"Moving to W Aramis, love hotel in Kabukicho, for a new series 😊
🏩 W Aramis, Kabukicho, Tokyo
#️⃣… https://t.co/IdOFf0sugS"
1,Circa1986... 😊 #throwback #flashback #oldphoto #caloysbirthday… https://t.co/0bZGaPcQfD
1,@blake33071 @youchikaruby 👏👏👏 Thank you for this. 😊
1,I caught myself loving someone i can't be with everyday but got my heart daily. 😊
1,@OMG_ImSoAwesome @gavthebrexit Hope it tastes as nice as it smells 😊
1,Ok. Counting the minutes 😊 #KalpAtışı https://t.co/8yB326nV7t
1,@idereje Hahaha this one is very nice 😊 ጥበብ ጠርታኻለች 😊😊
1,Oh she's in rockwell. Strong possibility she's with Top's sister and Yeonjun 😊 https://t.co/0yl7wI91Y6
1,"@ZMythos, I thought you'd appreciate this. 😊 https://t.co/nhkhvVALng"
1,"@SfgiantscapAnna Aw, I appreciate the kind words 😊"
1,"@Veritas_Io21 , Thank you amico, Good morning amico 😊 👍 👋 😎 / Didier Bruxelles 😊"
1,"@xhin7 I just wanted to make sure u was humane 😊 I agree dogs are better, I could care less for a cat except for my… https://t.co/ORczu72RHm"
1,Trying to be nice again 😊
1,@elle_fishlock @StowFalcons @SuffolkFA Fantastic 😊
1,@TimeyinPI @elrufai ...you have gained a follower 😊
1,@FolleHistory Vous êtes adorable Marianna 😊
1,@SabineDi63 Morning Sabine ☺ Have a great Day too😊😘
1,"I'm sure the guys who came up with ""Wrong Turn"" would die for your services. 😊 https://t.co/BQDjBsczy5"
1,That whole house smelling clean feeling 😊
1,@prof_giuseppe 😊
1,@_limitlessv2 We do eventually 😊
1,I just noticed we hit 6k subs thanks guys!! 😊
1,@uwhotmate 😊
1,I️ love airports. So many sweet reunions to witness 😊
1,@ResilienceDevCo @BBCJersey Thank you so much 😊
1,🎥🎥 #SaturdayMotivation Thank you @kairaca @CaitlinMarie444 @LuM2200 for being TOP engaged community members - Enjoy your weekend! 😊
1,@NPryce_Author All I can say you blinked and you missed it 😊 https://t.co/MsJ6U22Yfu
1,"@dimplesjooheon i hope so, fingers crossed 🤞🏼 thank you 😊"
