label,text
2,Want some crawfish &amp; a spicy pickle like right now 😒
2,Sad thing I don’t get my car till Monday 😒
2,@BreitbartNews NAACP is getting embarrassing 😒
2,Can the Shakes Mashaba brigade please sit down.... 😒
2,I have a love &amp; hate relationship with grocery shopping. I hate making more then one trip on carrying the bags 😒
2,@ICT_Police why should we suffer? 😒
2,#ios has failed us all 😒 https://t.co/AaapPio6i1
2,Is Courtney REALLY necessary this ep? 😒 #Neighbours
2,Amonie really fell asleep on me 😒
2,Bitches quick to put negative shit in your head . 😒
2,What's SeeU doing in this ad. I already know they didn't make the art for this 😒 https://t.co/u3CA2fDe3j
2,I push people away sometimes. Why? 😒
2,Two more hours 😒
2,Missed his fuccc call 😒
2,"Unless you've truly suffered it, no one understands how hard depression is to deal with 😒"
2,"Yeah lets call innocent women ugly to prove our point, that’ll show ‘em we’re right! Mega side eye 😒 https://t.co/8T2Fn4Jj2K"
2,Every time I️ try to do something to lift Gyasi spirits shit goes left 😒
2,Trying make up these hours since I missed Thursday 😒
2,@Nawaz18_here @AnashineAngel Absolutely  😒
2,Why do they always tag me in a post with this musty ass bitch 😒
2,I also just gave blood and that bitch hurt my arm 😒
2,I updated to iOS 11.2 beta and I’m still getting the stupid “I” —&gt; “A [?]” glitch 😒 #ItJustWorks #Apple
2,"Breakfast? Bitch, how much time do you think I have every morning 😒 https://t.co/FMsWIt9IlT"
2,My mom just yelled at me because i said I was coming home....wtf 😒
2,Wish I had friends because that’d be awesome 😒
2,@TheKnuX Aw come on 😒
2,Good work people of bedford 😒 https://t.co/e7pVh5OuCL
2,@souly_guy 😒
2,My mama gon ask me do I have company knowing damn well I don’t have any friends or dudes down here 😒
2,ugly ass fucker always want attention like gtfo fr 😒
2,"@Starbucks over @DunkinDonuts because Dunkin's coffee lacks boldness. Sipping on this black Dunkin coffee, but it tastes watered down! 😒"
2,soo mad one of my nails came off 😒
2,Did I really just watch @JusttNic try to act like wearing a holter monitor for two three days is life threatening 😒
2,@callofduty 😒 https://t.co/9pIFvX8X7U
2,"I always hold doors for people with no issue, but let a bitch not say thank you. 😒"
2,i’ve understood that u will never b mine 😒
2,@LizCrokin Of course he is 😒
2,*Husband 😒 https://t.co/DMZyx8Zpmo
2,I liked 140 characters twitter tbh 😒
2,"In order for Moe to hit me back in a reasonable time frame I️ have to send a few texts , call a few times , write him on Twitter . 😒"
2,😒 not thrilled but I kno it has 2b done...
2,@QueenKD__ rs i️ hate that nasty ass food 😒
2,@killaaken Girl I️ went to Lenox yesterday and was disgusted they were taking them shoppingggg 😒
2,My head hurts 😒
2,@meowzalot I liked Louis CK Too this is shitty 😒
2,@LemonSaltSoda 😒 I'm in that mood where I would set people on fire for inappropriate jokes
2,"I loved you cause I was so high, and now I am so low. 😒"
2,@JamesFourM @20committee @thedailybeast 😒
2,Now for the hours of waiting for apps to load tonight's #Supernatural episode #AdvancedThanatology! 😒 https://t.co/kynk2rpb2w
2,Following ONE person today doesn't count @Harry_Styles 😒
2,My mom legit is telling everyone and they moms that I came home at 3am 😒
2,Haysss nu 😒
2,DT has made the USA 🇺🇸 a laughingstock.  😒 https://t.co/N9P9nnMMRl
2,My friends think I’m a bank 😒
2,Did you have to shout? 😒 https://t.co/HBg3O4eNbK
2,Right. Like why tf they force us to use a cartoon 😒 https://t.co/gj0yo5On1Z
2,all i want is some donuts 😒
2,I can’t sleep and I’m legit pissed at Jonathan bc he’s asleep 😒
2,I’m tired of hearing gun shots 😒
2,@ItsMe_MidgetMAC you're cappin' don't let my girl see this 😒
2,@TTARATAS This is one of the other reasons I’m ducking out of the club part...you cannot be warm and cool at the same time 😒
2,Why need to hug? Why?? Whyy?? Whyyy????? 😒
2,I literally have been trying to put my child to sleep since 8 o clock! I don't fell asleep on her several times in the mist of it all. 😒
2,Of course Pandora calls me back after accepting another job offer.... 😒
2,I be so fuckin bored when Tino works. All my friends busy and I don’t work till late tomorrow 😒
2,@NotikTurntUp First Of All....You Offered 😒
2,I need my passport 😒 I should've done this a long time ago but me being me 😪
2,"I just read all the stupid comments about his hair. 😒 if he cuts it short ppl bitch, it's his frigging hair 💢 https://t.co/eZHkD3DQUH"
2,@findomtemptress @ayham_saeed87 What the actual fuck 😒
2,@therealAP_ No they ass be acting like the don’t want man meet with nobody 😒 you schedule an appointment and they r… https://t.co/Fdg1L92Cfo
2,now i️ need friends 😒
2,I vaguely recall what a full sleep feels like 😒
2,dudeee I hate college essays 😒
2,@SvpremeHeem Dont do that shit this way 😒
2,They email you but didn’t give a password (???!!!) 😒 https://t.co/YRwpxxrz9r
2,@optimusprime801 Since when did you start thanking me? 😒
2,@violet_velu More like another genius had to apply for UMS 😒
2,It's sad when a 13yo has to actually tweet this out bc adults can't handle themselves properly and maturely 😒 https://t.co/yY9cHLEjpA
2,I’m honestly done trying to be happy 😒
2,soooo I was sent to go get the food &amp; I low-key messed up everybody order &amp; I know it's gonna be an issue 😒
2,@JimmyMak1 @GOP Where whatever 'glorious leader' says or does is ok...or die 😒 https://t.co/4Iln4Y9DZ0
2,"They let Nikki pop Kat, but not Velvet. Fuck y’all. 😒 #blackinkcrew"
2,Tell me one thing but then a couple days later do the total opposite. Then get upset 😒
2,"Never fails, change a pee diaper...set her down for 5 seconds...now it’s a poop diaper 😒"
2,When 5PM was 5PM. Not stuck in traffic  😒 https://t.co/4Di2T5ofGx
2,Snapchat broken I️t keeps notifying me people are typing and they aren’t 😒
2,"Honestly majority of the dudes at indoor, I️ fucking hate them 😒 pinchi’s enfadosos volados pendejos"
2,Why do they always got me doing customs 😒
2,"@harrysflower87 Oh boy! I'm melting now, thanks! 😒"
2,@YouBeLying I’m laying down now 😒
2,Jayla rearranged the living room earlier cuz she didn’t like how it was 😒
2,😒 not a single soul https://t.co/heZpbVqlQB
2,People will like certain things about you then end up wanting to change those things 😒
2,That face you give when you're so damn sleepy and somebody ask you about the schoolwork. 😒 https://t.co/Gihf5FF6aE
2,Already feels like I’m not gonna get to go home today..have a bad feeling about this day. Feels like overtime..again 😒 gonna be a long day!
2,@WarrenGrahamLIS You were asking people for nudes 😒
2,Like you know your man a hoe and you know you ain't going anywhere. Sit back and relax and take your hand in peace. 😒
2,"@FoxNews @DavidWohl Good ole Faux News,  spreading the gospel 😒"
2,@jibransiddiqui Thats the whole point 😒
2,"Friend: Who's this guy?
Me: Chen. EXO Chen.
Friend: igop😍 (Handsome)
Me: 😒 Don't u dare.
Friend: 😜😍😍😍😍😍😍
*P.'Everyt… https://t.co/r0JxGYhDlR"
2,"@_RayWolf exactly ma guy, so I decided God is with me mosono wa dikereke, ketla bona kopele if I'll need to go to church 😒"
2,Try living in the same country with her.😒 https://t.co/WShyyuq4Rz
2,Mehn this season of AHS is weird... not in a good way. Tf? 😒
2,"Why on Snapchat do I see the article ""I'm the side chick what do I do"" umm why are we elevating this? I hate 2017 dating 😒"
2,yung feeling na todo outfit ka tas cancelled pala fieldtrip putang giliw yannn 😒
2,@marnerlicious Cuando queda 0-0... eso es lo peor q hay. No estoy sorprendida pero it's like 😒 this shit again
2,Waiting on this update like... 😒 https://t.co/C0uN6vNzco
2,Note to self: don’t listen to Bria anymore. 😒
2,Always ruining my mood 😒
2,Finally got Netflix and now I’m being subjected to watching “Beverly Hills Chihuahua: 3” 😒
2,haledon really b on it wit that 21 for tobacco bullshit 😒
2,How many damn hints do I gotta show you 😒
2,So mad my class got cancelled after driving all the way up there 😒
2,@ericarae___ You’re cheating on me 😒
2,"I get so mad at Vianca when she deactivates her fb. Bitch , I wanna tag you on these videos and shit 😒"
2,@nowellsy15 @TCFC_Official The dry patch is over 😒
2,Hate at first sight 😒
2,@ussoccer Any dangerous moats that need crossing?? 😒
2,If I really thought that this was how my morning was gonna go.. i would’ve just stayed asleep. 😒
2,All of a sudden my phone wants to act up 😒
2,@romviols @thebandshirley 😒
2,work is so wrong for giving me this 5-10 shift tonight 😒
2,You’d know this huh 😒 https://t.co/lhTl6PDrGD
2,Why is the air on 😒 I’m freezing
2,just receiving a receipt for some shit I bought a week ago 😒
2,@sa_nxver Four words: your life will be. 😒
2,Still fw him just mad cause he ain't done shit 😒
2,@ngwanaMETLAE I gat a cock too.. 😒
2,Bro we just heard gunshot type of sounds and my students starting running outside where the noise was coming from 😒… https://t.co/b4wJdq81xP
2,"@tricenumber3 That last season we terrible, I'm not even that stressed about it 😒"
2,If you wanted it as bad as I did you’ll get off yo ass and try to find a solution to 😒
2,So mad @GreysABC fb for posting what happened on Today’s episode since I have to wait and watch it on Fridays because I work 😒
2,My daughter is mean all I wanna do is cuddle and read and she just wants to sit on the floor and watch Moana or Mickey 😒
2,"Self, stop being too extra. 😒 https://t.co/bL3pjGa0zP"
2,My brother was playing Christmas music &amp; then his husband got home &amp; said “OHHHHH HEEEELLLL NOOOO” &amp; changed it 😒
2,@boxycharm and now it's sold out 😒
2,@Akalei_kanoa That’s because he be having  her dressed as if no one loves her 😒 having my baby out here looking homeless.
2,This woman almost took off my arm with her bag ... eediat gyal 😒
2,"""I don't write poetry... poetry writes me"" stfu Craig 😒 https://t.co/0u1miYqYHR"
2,I wonder how long my car be gone 😒 and I know my mama ain’t gone put no gas in it 🙄
