label,text
3,every time pink lipstick plays on my phone it elevates my mood 💯 송윤아씨 당신 예쁘 😭
3,I'm in love with Vice's bullet lipsticks 😭
3,Damn this hit me 😭 https://t.co/htEXwjYXcU
3,@valeraesthetic Army bomb ver 2 😭 @wifeofjayhope @rainedlm @VforVanGogh_
3,"🙌 YASSS It's time for a great show BiGFLXX💪🏾GNG:Tweak with me 😭💪
https://t.co/WiiZPsY4ex https://t.co/vV5Rc7o15l"
3,I have too much to do 😭
3,@Webb3Cold_ LMFAO! it did sound extra wet. 😭
3,I wish blue sham delivered 😭
3,@vix_cin awwwww 😭
3,Rich Chigga please please please 😭
3,Haven't been drunk since December 2016 😭 I need to change this. Mammy needs a day out 😂
3,i'm afraid but i'm seeing the doctor anyway 😭 hopefully i'll be okay 😩
3,the persian king in 300 used to scare me so much 😭
3,"as of this tweet, all of the comments under this is so positive 😭 https://t.co/BaV8WIEjjE"
3,@TheMindyProject @hulu I’M NOT READY FOR THIS. I’M NOT READY FOR MINDY PROJECT TO END. I’M NOT CRYING YOU’RE CRYING 😭
3,Eating completely clean for the rest of November.. minus Thanksgiving 😭
3,my emotions cant handle it 😭 https://t.co/q7gTU93Oge
3,@P_TurfCopier @AntoGriezmann Pas avec Soumillon? 😭
3,Wanna cry because I'm soo proud of my cousin getting accepted into UT 😭😭😭🙌🏻 #dontleavemethough 💔 @gabiantuna
3,I did my brows instead of getting them threaded and my anxiety is telling me I fucked them up 😭 but my sister says they look fine
3,@Nofh115 @hilaleh56_abeer @ioll77 @booty_centre_ ما عندي وما أحبة 😭
3,Seriously just wanna meet &amp; hold my little one sooo much I could just cry 😭 #momtobe
3,@Walshy @wecameasromans Where is my gift pack? 😭
3,Came in close contact with a big dog and now my mood is like 100x better 😭
3,@Lewisblackley12 Ridder eh 😭 you can buy a years worth for aboot a big note they’re that cheap 😂😂
3,@ChefWaites 😭 this wasn’t planned at all. The TL kept me awake
3,got my schedule changed next month 😭 8-4:30
3,Having panic attacks at work is the worst 😭
3,Tomorrow is gonna be my first runway 😭 Goodluck to me!!
3,Wow thank you so much 😭 https://t.co/bUVAhv1xjN
3,Don’t be leaving 280 characters in my mentions 😭 Ima turn into a nigga &amp; ignore it
3,You didn't even wanna get the one you got now you want 3 more 😭
3,"Even tho my dad irritates me, I️ love him so much. I’d be so lost w/o him 😭"
3,Whyyyyyy is there no @slipknot again @DownloadFest? 😭
3,"Want a German car because luxury, want a Japanese car bc tuner. brokeboyz can’t have both 😭"
3,@madisonkinggggg miss this so much 😭
3,just when will my super broke days end? 😭
3,Post Malone “I fall apart”.                            I fell that shit 😭
3,goodmorning 😭
3,😂😭 this is @x_CaramelBomb https://t.co/Ms00huT2UT
